kldgNo,Title,Link,Content
17,[지식채널e] 일자리의 미래,Link not found,Content not found
18,[지식채널e] 남극에서 수영복 팔기,Link not found,Content not found
19,[지식채널e] 별이 된 백과사전,Link not found,Content not found
20,[지식채널e] 어느 기업가의 행복찾기,Link not found,Content not found
21,[지식채널e] 위대한 질문,Link not found,Content not found
22,[지식채널e] 실패가 두려운 당신에게,Link not found,Content not found
23,[지식채널e] 네 맛대로 해라,Link not found,Content not found
24,[지식채널e] 우리들의 달콤한 회사,Link not found,Content not found
25,[지식채널e] 모든 아이를 위한 게임,Link not found,Content not found
26,"[지식채널e] 17세 소년, 너도 CEO니?",Link not found,Content not found
27,[지식채널e] 모든 이에게 햇살을,Link not found,Content not found
28,[지식채널e] 꿈꾸는 가위손,Link not found,Content not found
29,[지식채널e] 레모네이드 사세요!,Link not found,Content not found
30,[지식채널e] 소리가 보이는 통로,Link not found,Content not found
31,[지식채널e] 실밥 뜯는 밤,Link not found,Content not found
32,"[지식채널e] 내 인생은, 노답!",Link not found,Content not found
33,[지식채널e] 꿈꾸는 행동가들,Link not found,Content not found
34,"[지식채널e] 두근두근, 우리의 첫 무대",Link not found,Content not found
35,[지식채널e] 수상한 그녀들의 미션 파서블,Link not found,Content not found
36,[지식채널e] 학교 밖 학교,Link not found,Content not found
37,"[지식채널e] 열아홉 살, 여섯 번의 결혼식",Link not found,Content not found
38,[지식채널e] 나만 불편해?,Link not found,Content not found
39,[지식채널e] 먹고 사는 문제,Link not found,Content not found
40,[지식채널e] 내일을 향해 쏴라,Link not found,Content not found
49,맹모창업지교 1부,Link not found,Content not found
50,맹모창업지교 2부,Link not found,Content not found
51,고등대표 1부,Link not found,Content not found
52,고등대표 2부,Link not found,Content not found
53,고등대표 3부,Link not found,Content not found
54,고등대표 4부,Link not found,Content not found
55,2019 대한민국 청소년 창업경진대회,Link not found,Content not found
56,어서와 창업체험교육은 처음이지? 1부,Link not found,Content not found
57,어서와 창업체험교육은 처음이지? 2부,Link not found,Content not found
58,어서와 창업체험교육은 처음이지? 3부,Link not found,Content not found
59,도전맨 1부,Link not found,Content not found
60,도전맨 2부,Link not found,Content not found
61,도전맨 3부,Link not found,Content not found
62,도전맨 4부,Link not found,Content not found
63,(1) 개요-창업체험교육 운영 안내 수업과정,Link not found,Content not found
64,(2) 단기과정-창업체험교육 운영 안내 수업과정,Link not found,Content not found
65,(3) 장기과정-창업체험교육 운영 안내 수업과정,Link not found,Content not found
66,온라인 플랫폼-창업체험교육 운영 안내,Link not found,Content not found
67,[지식채널e] 200억짜리 아이디어,Link not found,Content not found
68,[지식채널e] 직업의 종말,Link not found,Content not found
69,[지식채널e] 직업의 탄생,Link not found,Content not found
70,[지식채널e] 같이 밀어줄게,Link not found,Content not found
71,[지식채널e] 방황이라 말하지 말아요,Link not found,Content not found
72,[지식채널e] 식구가 많아서,Link not found,Content not found
73,[지식채널e] 내가 만들어 쓰는 전기,Link not found,Content not found
74,[지식채널e] 반려동물과의 아름다운 이별,Link not found,Content not found
75,[지식채널e] 세상을 밝히는 식용유 조명,Link not found,Content not found
76,[지식채널e] 내 인생의 오답노트,Link not found,Content not found
77,[지식채널e] 실패가 씨앗이 되면,Link not found,Content not found
78,[지식채널e] 모두의 일상이 당연해지기를,Link not found,Content not found
79,[지식채널e] +1의 가능성,Link not found,Content not found
80,[지식채널e] 딸이 울었다,Link not found,Content not found
81,[지식채널e] 장르는 강아지물,Link not found,Content not found
82,[지식채널e] 달나라 병원을 만드는 일,Link not found,Content not found
83,[지식채널e] 빈집 빌려주실래요,Link not found,Content not found
84,[지식채널e] 일단 한번 해보는거야,Link not found,Content not found
85,[지식채널e] 반짝반짝 불가사리,Link not found,Content not found
86,[지식채널e] 포노족의 꿈,Link not found,Content not found
87,[지식채널e] 모든 가능성에 관한 이야기,Link not found,Content not found
88,[지식채널e] 감자 하나에 인생을 건 청년들,Link not found,Content not found
89,[지식채널e] 습작의 기억,Link not found,Content not found
90,[지식채널e] 열정같은 소리 해보겠습니다,Link not found,Content not found
91,[지식채널e] 이런 것도 창업이 되나요?,Link not found,Content not found
92,[과학편] 고등학교 1차시 영상,Link not found,Content not found
93,[과학편] 중학교 1차시 영상,Link not found,Content not found
94,[관광편] 중등 1차시 영상,Link not found,Content not found
95,[관광편] 초등 1차시 영상,Link not found,Content not found
96,[사회편] 고등학교 1차시 영상,Link not found,Content not found
97,[사회편] 중학교 1차시 영상,Link not found,Content not found
98,[의료편] 중등 1차시 영상,Link not found,Content not found
99,[의료편] 초등 1차시 영상,Link not found,Content not found
100,[과학편] 초등학교 1차시 영상,Link not found,Content not found
101,2020 대한민국 청소년 온라인 창업경진대회,Link not found,Content not found
102,창업경진대회 우수팀 발표영상,Link not found,Content not found
103,[사회편] 초등학교 1차시 영상,Link not found,Content not found
104,[사회편] 초등학교 2차시 영상,Link not found,Content not found
105,[사회편] 중학교 2차시 영상,Link not found,Content not found
106,[사회편] 고등학교 2차시 영상,Link not found,Content not found
107,[과학편] 초등학교 2차시 영상,Link not found,Content not found
108,[과학편] 중학교 2차시 영상,Link not found,Content not found
109,[과학편] 고등학교 2차시 영상,Link not found,Content not found
110,[관광편] 초등 2차시 영상,Link not found,Content not found
111,[관광편] 중등 2차시 영상,Link not found,Content not found
112,[의료편] 초등 2차시 영상,Link not found,Content not found
113,[의료편] 중등 2차시 영상,Link not found,Content not found
114,[창업가정신편] 중등 2차시 영상,Link not found,Content not found
115,[창업가정신편] 중등 3차시 영상,Link not found,Content not found
116,[의료편] 중등 3차시 영상,Link not found,Content not found
117,[사회편] 고등학교 3차시 영상,Link not found,Content not found
118,[관광편] 초등 3차시 영상,Link not found,Content not found
119,[관광편] 중등 3차시 영상,Link not found,Content not found
120,[과학편] 초등학교 3차시 영상,Link not found,Content not found
121,[과학편] 중학교 3차시 영상,Link not found,Content not found
122,[과학편] 고등학교 3차시 영상,Link not found,Content not found
123,[과학편] 중학교 4차시 영상,Link not found,Content not found
124,[과학편] 중학교 5차시 영상,Link not found,Content not found
125,[사회편] 중학교 3차시 영상,Link not found,Content not found
126,[사회편] 중학교 4차시 영상,Link not found,Content not found
127,[사회편] 중학교 5차시 영상,Link not found,Content not found
128,[사회편] 초등학교 3차시 영상,Link not found,Content not found
129,[사회편] 초등학교 4차시 영상,Link not found,Content not found
130,[의료편] 초등 3차시 영상,Link not found,Content not found
131,[창업가정신편] 초등 2차시 영상,Link not found,Content not found
132,[창업가정신편] 초등 3차시 영상,Link not found,Content not found
133,[창업가정신편] 중등 5차시 영상,Link not found,Content not found
134,[의료편] 중등 5차시 영상,Link not found,Content not found
135,[창업가정신편] 초등 1차시 영상,Link not found,Content not found
136,[창업가정신편] 중등 1차시 영상,Link not found,Content not found
137,[과학편] 고등학교 4차시 영상,Link not found,Content not found
138,[과학편] 고등학교 5차시 영상,Link not found,Content not found
139,[과학편] 초등학교 4차시 영상,Link not found,Content not found
140,[관광편] 중등 4차시 영상,Link not found,Content not found
141,[관광편] 중등 5차시 영상,Link not found,Content not found
142,[관광편] 중등 6차시 영상,Link not found,Content not found
143,[관광편] 중등 7차시 영상,Link not found,Content not found
144,[관광편] 중등 8차시 영상,Link not found,Content not found
145,[관광편] 초등 4차시 영상,Link not found,Content not found
146,[관광편] 초등 5차시 영상,Link not found,Content not found
147,[관광편] 초등 6차시 영상,Link not found,Content not found
148,[관광편] 초등 7차시 영상,Link not found,Content not found
149,[관광편] 초등 8차시 영상,Link not found,Content not found
150,[사회편] 고등학교 4차시 영상,Link not found,Content not found
151,[사회편] 초등학교 5차시 영상,Link not found,Content not found
152,[의료편] 중등 4차시 영상,Link not found,Content not found
153,[의료편] 중등 6차시 영상,Link not found,Content not found
154,[의료편] 중등 7차시 영상,Link not found,Content not found
155,[의료편] 중등 8차시 영상,Link not found,Content not found
156,[의료편] 초등 4차시 영상,Link not found,Content not found
157,[의료편] 초등 5차시 영상,Link not found,Content not found
158,[의료편] 초등 8차시 영상,Link not found,Content not found
159,[창업가정신편] 중등 4차시 영상,Link not found,Content not found
160,[창업가정신편] 중등 7차시 영상,Link not found,Content not found
161,[창업가정신편] 중등 8차시 영상,Link not found,Content not found
162,[창업가정신편] 초등 4차시 영상,Link not found,Content not found
163,[창업가정신편] 초등 5차시 영상,Link not found,Content not found
164,[창업가정신편] 초등 6차시 영상,Link not found,Content not found
165,[창업가정신편] 초등 7차시 영상,Link not found,Content not found
166,[창업가정신편] 초등 8차시 영상,Link not found,Content not found
167,[과학편] 초등학교 5차시 영상,Link not found,Content not found
168,[사회편] 고등학교 5차시 영상,Link not found,Content not found
169,[의료편] 초등 6차시 영상,Link not found,Content not found
170,[의료편] 초등 7차시 영상,Link not found,Content not found
171,[창업가정신편] 중등 6차시 영상,Link not found,Content not found
172,[IT편] 수업활용 영상(1),Link not found,Content not found
173,[IT편] 수업활용 영상(2),Link not found,Content not found
174,[생활편] 수업활용 영상(1),Link not found,Content not found
175,[생활편] 수업활용 영상(2),Link not found,Content not found
176,[환경편] 수업활용 영상(1),Link not found,Content not found
177,[환경편] 수업활용 영상(2),Link not found,Content not found
178,[문화콘텐츠편] 수업활용 영상(1),Link not found,Content not found
179,[문화콘텐츠편] 수업활용 영상(2),Link not found,Content not found
180,[패션&라이프스타일편] 수업활용 영상(1),Link not found,Content not found
181,[패션&라이프스타일편] 수업활용 영상(2),Link not found,Content not found
182,[창업가정신 함양 교육 프로그램] 만능 아이디어 바퀴,Link not found,Content not found
183,[데이터편] 중등 2차시 영상,Link not found,Content not found
184,[데이터편] 중등 4차시 영상,Link not found,Content not found
185,[데이터편] 중등 5차시 영상,Link not found,Content not found
186,[데이터편] 초등 2차시 영상,Link not found,Content not found
187,[데이터편] 초등 6차시 영상,Link not found,Content not found
188,[학생주도형 콘텐츠] 중학교편 2단계 영상,Link not found,Content not found
189,[학생주도형 콘텐츠] 중학교편 3-1단계 영상,Link not found,Content not found
190,[학생주도형 콘텐츠] 중학교편 3-2단계 영상,Link not found,Content not found
191,[학생주도형 콘텐츠] 중학교편 6-1단계 영상,Link not found,Content not found
192,[학생주도형 콘텐츠] 중학교편 7단계 영상,Link not found,Content not found
193,[학생주도형 콘텐츠] 중학교편 8단계 영상,Link not found,Content not found
194,[인공지능편] 중등 2차시 영상,Link not found,Content not found
195,[인공지능편] 중등 3차시 영상,Link not found,Content not found
196,[인공지능편] 중등 5차시 영상,Link not found,Content not found
197,[인공지능편] 초등 3차시 영상,Link not found,Content not found
198,[인공지능편] 초등 6차시 영상,Link not found,Content not found
199,[네트워크편] 중등 2차시 영상,Link not found,Content not found
200,[네트워크편] 초등 7-1차시 영상,Link not found,Content not found
201,[네트워크편] 중등 4차시 영상,Link not found,Content not found
202,[학생주도형 콘텐츠] 고등학교편 3단계 영상,Link not found,Content not found
203,[학생주도형 콘텐츠] 초등학교편 3단계 영상,Link not found,Content not found
204,[학생주도형 콘텐츠] 초등학교편 5단계 영상,Link not found,Content not found
205,2021 대한민국 청소년 온라인 창업경진대회,Link not found,Content not found
206,2021 창업경진대회 우수팀 발표영상,Link not found,Content not found
207,왕초보! 스타트업 도전하기 활용가이드(2단계),Link not found,Content not found
208,빅데이터 활용 시장탐색 프로그램 활용가이드,Link not found,Content not found
209,[학생주도형 콘텐츠] 고등학교편 2단계 영상,Link not found,Content not found
210,[학생주도형 콘텐츠] 고등학교편 6단계 영상,Link not found,Content not found
211,[인공지능편] 중등 4차시 영상,Link not found,Content not found
212,[학생주도형 콘텐츠] 고등학교편 4단계 영상,Link not found,Content not found
213,[학생주도형 콘텐츠] 고등학교편 7단계 영상,Link not found,Content not found
214,[학생주도형 콘텐츠] 중학교편 6-2단계 영상,Link not found,Content not found
215,[네트워크편] 초등 6차시 영상,Link not found,Content not found
216,[네트워크편] 초등 7-2차시 영상,Link not found,Content not found
217,[학생주도형 콘텐츠] 초등학교편 7단계 영상,Link not found,Content not found
218,[학생주도형 콘텐츠] 고등학교편 5단계 영상,Link not found,Content not found
219,[학생주도형 콘텐츠] 초등학교편 8단계 영상,Link not found,Content not found
220,[학생주도형 콘텐츠] 고등학교편 8단계 영상,Link not found,Content not found
221,[네트워크편] 초등 2차시 영상,Link not found,Content not found
222,[학생주도형 콘텐츠] 고등학교편 1단계 영상,Link not found,Content not found
223,[학생주도형 콘텐츠] 중학교편 1단계 영상,Link not found,Content not found
224,[학생주도형 콘텐츠] 초등학교편 1단계 영상,Link not found,Content not found
225,[데이터편] 초등 5차시 영상,Link not found,Content not found
226,60초! 창업가 알아보기 [장이밍편],Link not found,Content not found
227,60초! 창업가 알아보기 [아제이 방가편],Link not found,Content not found
228,60초! 창업가 알아보기 [조지아나 카를로스편],Link not found,Content not found
229,60초! 창업가 알아보기 [리드 헤이스팅스편],Link not found,Content not found
230,60초! 창업가 알아보기 [알리나 바시편],Link not found,Content not found
231,60초! 창업가 알아보기 [애덤 노이만편],Link not found,Content not found
232,60초! 창업가 알아보기 [일론 머스크편],Link not found,Content not found
233,60초! 창업가 알아보기 [사무엘 마루타 & 빈센트 머러우편],Link not found,Content not found
234,60초! 창업가 알아보기 [아비나브 아그라왈편],Link not found,Content not found
235,60초! 창업가 알아보기 [앤드류 알맥편],Link not found,Content not found
236,60초! 창업가 알아보기 [아킬라 아다빌라편],Link not found,Content not found
237,60초! 창업가 알아보기 [밥 아이거편],Link not found,Content not found
238,60초! 창업가 알아보기 [필립 오버리편],Link not found,Content not found
239,60초! 창업가 알아보기 [진시청편],Link not found,Content not found
240,60초! 창업가 알아보기 [빌란 빈 사키브편],Link not found,Content not found
241,"60초! 창업가 알아보기 [애비 모리스, 제임스 오미사킨편]",Link not found,Content not found
242,60초! 창업가 알아보기 [앨빈 청편],Link not found,Content not found
243,60초! 창업가 알아보기 [라이언 & 로이 시더스 형제편],Link not found,Content not found
244,60초! 창업가 알아보기 [아델 아처편],Link not found,Content not found
245,60초! 창업가 알아보기 [아티나 로렌지아디편],Link not found,Content not found
246,60초! 창업가 알아보기 [안젤리크 알스트롬편],Link not found,Content not found
247,60초! 창업가 알아보기 [자이납 비비편],Link not found,Content not found
248,60초! 창업가 알아보기 [오오야마 야스히로편],Link not found,Content not found
249,60초! 창업가 알아보기 [안나 브라이트만편],Link not found,Content not found
250,"60초! 창업가 알아보기 [리처드 리드, 아담 발론, 존 라이트편]",Link not found,Content not found
251,"60초! 창업가 알아보기 [알레한드로 딘스모어, 해리스 고든, 매튜 그리피스, 케이시 핸콕편]",Link not found,Content not found
252,60초! 창업가 알아보기 [막스 바렌브뤼흐편],Link not found,Content not found
253,60초! 창업가 알아보기 [카간 수메르편],Link not found,Content not found
254,60초! 창업가 알아보기 [메테 리케편],Link not found,Content not found
255,60초! 창업가 알아보기 [버질 아블로편],Link not found,Content not found
256,선배들이 알려주는 슬기로운 동아리 생활 Part 1,Link not found,Content not found
257,선배들이 알려주는 슬기로운 동아리 생활 Part 2,Link not found,Content not found
258,선배들이 알려주는 슬기로운 동아리 생활 Part 3,Link not found,Content not found
259,왕초보! 스타트업 도전하기 활용가이드(1단계),Link not found,Content not found
260,왕초보! 스타트업 도전하기 활용가이드(3단계),Link not found,Content not found
261,왕초보! 스타트업 도전하기 활용가이드(4단계),Link not found,Content not found
262,왕초보! 스타트업 도전하기 활용가이드(5단계),Link not found,Content not found
263,왕초보! 스타트업 도전하기 활용가이드(6단계),Link not found,Content not found
264,왕초보! 스타트업 도전하기 활용가이드(7단계),Link not found,Content not found
265,왕초보! 스타트업 도전하기 활용가이드(8단계),Link not found,Content not found
266,창업체험교육 운영 사례(교육과정 연계①),Link not found,Content not found
267,창업체험교육 운영 사례(교육과정 연계②),Link not found,Content not found
268,창업체험교육 운영 사례(교육과정 연계③),Link not found,Content not found
269,창업체험교육 운영 사례(교육과정 연계④),Link not found,Content not found
270,창업체험교육 운영 사례(지역사회 연계①),Link not found,Content not found
271,창업체험교육 운영 사례(지역사회 연계②),Link not found,Content not found
272,창업체험교육 운영 사례(지역사회 연계③),Link not found,Content not found
273,창업체험교육 운영 사례(창업동아리 운영①),Link not found,Content not found
274,창업체험교육 운영 사례(창업동아리 운영②),Link not found,Content not found
275,창업체험교육 운영 사례(창업동아리 운영③),Link not found,Content not found
276,2022 창업경진대회 우수팀 발표영상,Link not found,Content not found
277,창업경진대회 참가팀 활동 사례(V-log) 영상,Link not found,Content not found
278,[초]‘관심 보디 프로필’ 활동으로 나의 관심사 이해하기(1번),Link not found,Content not found
279,[초]‘소셜 플러스(Social+)’ 활동으로 나의 관심사 확장하기(2번),Link not found,Content not found
280,[초]보드게임을 활용한 창업 사례 탐색하기(3번),Link not found,Content not found
281,[초]슬로건을 통해 창업 가치 이해하기(4번),Link not found,Content not found
282,[초]창업 탐정이 되어 숨은 불편함 찾아보기(5번),Link not found,Content not found
283,[초]‘릴레이 마인드맵’ 활동으로 해결책 아이디어 발굴하기(6번),Link not found,Content not found
284,[초]‘릴레이 스케치’ 활동을 통해 아이디어 분석하기(7번),Link not found,Content not found
285,[초]‘고객 센터에 보내는 편지’를 작성하여 아이디어 개선하기(8번),Link not found,Content not found
286,[초]‘반반 가면’ 활동으로 고객 상상하기(9번),Link not found,Content not found
287,[초]가설로 아이디어 검증하기(10번),Link not found,Content not found
288,[초]‘반전 데칼코마니’ 활동으로 MVP(최소기능제품) 이해하기(11번),Link not found,Content not found
289,[초]‘역할 연극’ 활동을 통해 고객의 마음 이해하기(12번),Link not found,Content not found
290,[초]‘경쟁사 지도(포지셔닝 맵)’를 통해 우리 제품의 강점과 약점 파악하기(13번),Link not found,Content not found
291,[초]‘형용사 닉네임 사원증 만들기’ 활동으로 나의 역할 확인하기(14번),Link not found,Content not found
292,[초]우리 아이템의 목표 고객 설정하기(15번),Link not found,Content not found
293,[초]‘비즈니스 모델 캔버스’ 활동으로 창업 계획 수립하기(16번),Link not found,Content not found
294,[초]‘모의 크라우드 펀딩’ 활동으로 자금 조달 방법 이해하기(17번),Link not found,Content not found
295,[초]‘포토 엘리베이터 피치’ 활동을 통해 투자 설명회 이해하기(18번),Link not found,Content not found
296,[초]스타트업 홍보 계획 세우기(19번),Link not found,Content not found
297,[초]‘원 테이크 영상’으로 창업 아이템 홍보하기(20번),Link not found,Content not found
298,[초]‘주사위 리뷰’로 우리 활동 되돌아보기(21번),Link not found,Content not found
299,[초]‘넥스트 레벨 플랜’ 활동으로 스타트업 미래 계획 세우기(22번),Link not found,Content not found
300,[초]‘창업가정신 롤링 페이퍼’ 활동으로 나의 창업가정신 확인하기(23번),Link not found,Content not found
301,[초]‘창업가 타임캡슐’ 활동으로 우리 스타트업의 핵심 가치 확인하기(24번),Link not found,Content not found
302,[중]부캐(또 다른 나)의 디지털 영상 명함 만들기(1번),Link not found,Content not found
303,[중]메타버스 세상 속 나의 하루를 그림일기로 그리기(2번),Link not found,Content not found
304,[중]내 관심 분야의 창업 사례 탐색하기(3번),Link not found,Content not found
305,[중]슬로건 월드컵으로 창업 가치 이해하기(4번),Link not found,Content not found
306,[중]육하원칙 릴레이 스케치로 아이디어 탐색하기(5번),Link not found,Content not found
307,[중]고객 센터에 보내는 편지를 통해 문제 상황 설정하기(6번),Link not found,Content not found
308,[중]브레인스토밍으로 아이디어 발굴하기(7번),Link not found,Content not found
309,[중]우리 고객의 모습을 상상하여 고객 가면 만들기(8번),Link not found,Content not found
310,[중]가설로 아이디어 검증하기(9번),Link not found,Content not found
311,[중]설문 조사를 통해 아이디어 분석하기(10번),Link not found,Content not found
312,[중]MVP(최소기능제품) 시각화하기(11번),Link not found,Content not found
313,[중]역할 연극으로 고객의 마음 이해하기(12번),Link not found,Content not found
314,[중]경쟁사 지도(포지셔닝 맵)를 통해 우리 제품의 강점과 약점 파악하기(13번),Link not found,Content not found
315,[중]우리 스타트업의 CEO 선발하기(14번),Link not found,Content not found
316,[중]우리 아이템의 목표 고객 설정하기(15번),Link not found,Content not found
317,[중]비즈니스 모델 캔버스로 창업 계획 수립하기(16번),Link not found,Content not found
318,[중]크라우드 펀딩으로 자금 조달 방법 이해하기(17번),Link not found,Content not found
319,[중]‘포토 엘리베이터 피치’를 통해 투자 설명회 이해하기(18번),Link not found,Content not found
320,[중]‘열린 창업 마켓’을 통해 우리 아이템 판매하기(19번),Link not found,Content not found
321,[중]원 테이크 영상으로 창업 아이템 홍보하기(20번),Link not found,Content not found
322,[중]‘롤링 페이퍼 리뷰’를 통해 우리 활동 되돌아보기(21번),Link not found,Content not found
323,[중]우리 스타트업의 아이콘 만들기(22번),Link not found,Content not found
324,[중]창업가 라이브 영상 촬영하기(23번),Link not found,Content not found
325,[중]‘창업 데이터 알고리즘’으로 미래 계획 수립하기(24번),Link not found,Content not found
326,[고]관심 폴더 만들기로 나의 관심사 이해하기(1번),Link not found,Content not found
327,[고]스타트업 빅 데이터 만들기(2번),Link not found,Content not found
328,[고]창업 사례 홍보 포스터 만들기(3번),Link not found,Content not found
329,[고]스타트업의 핵심 가치 이해하기(4번),Link not found,Content not found
330,[고]창업 사례로 신문 기사 작성하기(5번),Link not found,Content not found
331,[고]TFT(사내 임시 동아리)를 구성하여 아이디어 발굴하기(6번),Link not found,Content not found
332,[고]브레인스토밍으로 아이디어 디벨롭하기(7번),Link not found,Content not found
333,[고]고객 문답 프로필 활동으로 가상 고객 설정하기(8번),Link not found,Content not found
334,[고]‘SWOT 분석’을 통해 우리 아이디어 점검하기(9번),Link not found,Content not found
335,[고]설문 조사를 통해 아이디어 분석하기(10번),Link not found,Content not found
336,[고]MVP(최소기능제품) 시각화하기(11번),Link not found,Content not found
337,[고]스타트업 박람회에서 우리 동아리의 MVP(최소기능제품)에 대한 피드백 받아보기(12번),Link not found,Content not found
338,[고]경쟁사 지도(포지셔닝 맵)를 통해 우리 아이템의 경쟁력 파악하기(13번),Link not found,Content not found
339,[고]우리 스타트업의 팀 빌딩 하기(14번),Link not found,Content not found
340,[고]스타트업 계획 수립하기(15번),Link not found,Content not found
341,[고]비즈니스 모델 캔버스로 창업 계획 수립하기(16번),Link not found,Content not found
342,[고]크라우드 펀딩으로 자금 조달 방법 이해하기(17번),Link not found,Content not found
343,[고]데모데이 참여하여 사업 계획 발표하기(18번),Link not found,Content not found
344,[고]‘교실 마켓’으로 우리 창업 아이템 판매하기(19번),Link not found,Content not found
345,[고]원 테이크 영상으로 창업 아이템 홍보하기(20번),Link not found,Content not found
346,[고]‘피봇’을 통해 새로운 성장 전략을 찾아보기(21번),Link not found,Content not found
347,[고]‘프로참견러’를 통해 우리 활동 되돌아보기(22번),Link not found,Content not found
348,[고]창업가 인터뷰 영상 촬영하기(23번),Link not found,Content not found
349,[고]창업가 타임라인 그리기(24번),Link not found,Content not found
350,창업가정신 학교에 가다(지역문제해결편) 활용가이드,Link not found,Content not found
351,창업가정신 학교에 가다(ESG편) 활용가이드,Link not found,Content not found
352,지역사회 창업가정신 함양 교육 생태계 조성 사업 중점학교 운영매뉴얼(초등학교편),Link not found,Content not found
353,지역사회 창업가정신 함양 교육 생태계 조성 사업 중점학교 운영매뉴얼(중학교편),Link not found,Content not found
354,지역사회 창업가정신 함양 교육 생태계 조성 사업 중점학교 운영매뉴얼(고등학교편),Link not found,Content not found
355,공동교육과정 모델 활용가이드,Link not found,Content not found
356,2023 YEEP 동아리미션 가이드영상 part1(고등학교편),Link not found,Content not found
357,2023 YEEP 동아리미션 가이드영상 part2(고등학교편),Link not found,Content not found
358,2023 YEEP 동아리미션 가이드영상 part2(중학교편),Link not found,Content not found
359,2023 YEEP 동아리미션 가이드영상 part1(중학교편),Link not found,Content not found
360,2023 YEEP 동아리미션 가이드영상 part1(초등학교편),Link not found,Content not found
361,2023 YEEP 동아리미션 가이드영상 part2(초등학교편),Link not found,Content not found
362,60초! 창업가 알아보기 [ 프라이탁 형제 ],Link not found,Content not found
363,60초! 창업가 알아보기 [ 다니엘 에크 ],Link not found,Content not found
364,60초! 창업가 알아보기 [ 제임스 다이슨 ],Link not found,Content not found
365,60초! 창업가 알아보기 [ 마퀴스 밀 컨버스 ],Link not found,Content not found
366,60초! 창업가 알아보기 [ 앙리 네슬레 ],Link not found,Content not found
367,60초! 창업가 알아보기 [ 닐 블루멘탈 ],Link not found,Content not found
368,60초! 창업가 알아보기 [ 에단 브라운 ],Link not found,Content not found
369,60초! 창업가 알아보기 [ 에릭 유안 ],Link not found,Content not found
370,60초! 창업가 알아보기 [ 리드 호프만 ],Link not found,Content not found
371,60초! 창업가 알아보기 [ 세오도리치 츄 ],Link not found,Content not found
372,60초! 창업가 알아보기 [ 오데드 브레너 ],Link not found,Content not found
373,60초! 창업가 알아보기 [ 이브 포트빈 ],Link not found,Content not found
374,"60초! 창업가 알아보기 [ 벅조던, 라이언 시넷, 롭 앤더슨 ]",Link not found,Content not found
375,60초! 창업가 알아보기 [ 마이크 세사리오 ],Link not found,Content not found
376,60초! 창업가 알아보기 [ 주베리 형제 ],Link not found,Content not found
377,60초! 창업가 알아보기 [ 제시카 알바 ],Link not found,Content not found
378,"60초! 창업가 알아보기 [ 토니 쉬, 스탠리 탕, 앤디 팽, 에번 무어 ]",Link not found,Content not found
379,60초! 창업가 알아보기 [ 딜런 필드 ],Link not found,Content not found
380,60초! 창업가 알아보기 [ 프레이저 도허티 ],Link not found,Content not found
381,60초! 창업가 알아보기 [ 테사 클라크 ],Link not found,Content not found
382,60초! 창업가 알아보기 [ 피터 칼슨 ],Link not found,Content not found
383,60초! 창업가 알아보기 [ 셰스 형제 ],Link not found,Content not found
384,60초! 창업가 알아보기 [ 앙투안 위베르 ],Link not found,Content not found
385,60초! 창업가 알아보기 [ 멜라니 퍼킨스 ],Link not found,Content not found
386,60초! 창업가 알아보기 [ 크리스틴 스피튼 ],Link not found,Content not found
387,60초! 창업가 알아보기 [ 토마스 빙겔리 ],Link not found,Content not found
388,60초! 창업가 알아보기 [ 삼워 삼형제 ],Link not found,Content not found
389,"60초! 창업가 알아보기 [ 마이크 캐논 브룩스, 스콧파퀴하르 ]",Link not found,Content not found
390,60초! 창업가 알아보기 [ 앤서니 탄 ],Link not found,Content not found
391,"60초! 창업가 알아보기 [ 알렉스 아탈라, 데빈 핀저 ]",Link not found,Content not found
392,2022 대한민국 청소년 창업경진대회 창업동아리 V-log(고등학교편),Link not found,Content not found
393,2022 대한민국 청소년 창업경진대회 창업동아리 V-log(중학교편),Link not found,Content not found
394,2023 대한민국 청소년 창업경진대회 창업동아리 V-log(고등학교편),Link not found,Content not found
395,2023 대한민국 청소년 창업경진대회 창업동아리 V-log(중학교편),Link not found,Content not found
396,2023 대한민국 청소년 창업경진대회 스케치영상,Link not found,Content not found
397,진로수업 연계 운영사례 [일반고 교육과정],Link not found,Content not found
398,창업동아리 운영사례 [23년 대상수상팀],Link not found,Content not found
